id1_pdf_file,id2_pdf_file,id1_page_number,id2_page_number,id1_section_number,id2_section_number,id1_section_title,id2_section_title,text1,text2,Tier
O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,227,240,4.24.3,4.26.3.3,Solutions,Intereference prediction for MCS optimization,Near-RT RIC and Non-RT RIC are instantiated with A1 interface connectivity being established between them. E2 interface is established between Near-RT RIC and E2 node.,Near-RT RIC and Non-RT RIC are instantiated with A1 interface connectivity being established between them. E2 nodes and Non-RT RIC are instantiated with E2 interface connectivity being established between them.,2
O-RAN.WG2.TS.Use-Case-Requirements-R004-v10.02.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,23,42,4.3.4,4.8.4,Required data,Required data,"For this use case, different kind of observability need to be reported to Non-RT RIC. First Non-RT RIC shall monitor resource consumption in the area. As long as resource consumption is low, the RAN scheduler will be able to give all users in an area the needed resources. When resource consumption in an area increases above a threshold, there is risk of that the default configuration of RAN will not be enough to fulfil the requirements. At this point, the Non-RT RIC need to be able to configure more detailed reporting for individual UEs that the Non-RT RIC is interested in. This detailed observability should provide the Non RT RIC better insight in performance for specific users and therefore includes observability of e.g., user throughput and delay. With this more detailed observability, the Non-RT RIC can understand when pre-configured priorities are not enough for the scheduler to solve the problem and when additional (non-RAN) information to solve the prioritization is needed.","For this use case, different kind of observability need to be reported to Non-RT RIC. First Non-RT RIC shall monitor resource consumption in the area. As long as resource consumption is low, the RAN scheduler will be able to give all users in an area the needed resources. When resource consumption in an area increases above a threshold, the risk of that the default configuration of RAN will not be enough to fulfil the requirements. At this point, the Non-RT RIC need to be able to configure more detailed reporting for individual UEs that the Non-RT RIC is interested in. This detailed observability shall provide the Non-RT RIC better insight in performance for specific users and therefore includes observability of e.g., user throughput and delay. With this more detailed observability, the Non-RT RIC can understand",2
O-RAN.WG11.Security-Near-RT-RIC-xApps-TR.0-R003-v05.00.pdf,O-RAN.WG11.Security-Near-RT-RIC-xApps-TR.0-R003-v05.00.pdf,6,7,5.2.3,5.3.3,Potential security requirements,Potential security requirements,xApps shall be authenticated during onboarding using a signature that is generated by the xApp Solution Provider and validated by the Service Provider.,Requirement: xApps images shall be authenticated during onboarding using a signature that is generated by the xApp Solution Provider and validated by the Service/Cloud Provider and telco operator.,1
O-RAN.WG11.TR.SMO-Security-Analysis.0-R004-v06.00.pdf,ORAN-WG11-SharedORU-Security-Analysis-TR.0-R004-v06.00.pdf,21,27,7,7,Security Controls,Security Controls,"Relevant controls from CISAs Security Guidance are mTLS 1.2, or higher, with PKI and X.509 certificates, Multi- Factor Authentication (MFA), Principle of Least Privilege, Continuous Monitoring and Logging, and data confidentiality and protection as components of a zero trust architecture as defined in NIST SP 800-207 [i.8].","Relevant controls from CISAs Security Guidance are TLS 1.2, or higher, with PKI and X.509 certificates, Multi-Factor Authentication (MFA), Principle of Least Privilege, Continuous Monitoring and Logging, and data confidentiality and protection as components of a zero trust architecture as defined in NIST SP 800-207 [i.8].",1
O-RAN.WG3.TS.UCR-R004-v08.00.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,15,43,4.3,4.9,RAN slice SLA assurance,RAN slice SLA assurance,"The 3GPP standards architected a sliceable 5G infrastructure which allows creation and management of customized networks to meet specific service requirements that can be demanded by future applications, services and business verticals. Such a flexible architecture needs different requirements to be specified in terms of functionality, performance and group of users which can greatly vary from one service to the other. The 5G standardization efforts have gone into defining specific slices and their Service Level Agreements (SLAs) based on application/service type as specified in . Since network slicing is conceived to be an end-to-end feature that includes the core network, the transport network and the radio access network (RAN), these requirements should be met at any slice subnet during the life-time of a network slice as specified in , especially in RAN side. Exemplary slice performance requirements are specified in terms of throughput, energy efficiency, latency and reliability at a high level in SDOs such as and GSMA [22]. These requirements are defined as a reference for SLA/contractual agreements for each slice, which individually need proper handling in .","The 3GPP standards architected a sliceable 5G infrastructure which allows creation and management of customized networks to meet specific service requirements that can be demanded by future applications, services, and business verticals. Such a flexible architecture needs different requirements to be specified in terms of functionality, performance and group of users which can greatly vary from one service to the other. The 5G standardization efforts have gone into defining specific slices and their Service Level Agreements (SLAs) based on application/service type as specified in . Since network slicing is conceived to be an end-to-end feature that includes the core network, the transport network and the Radio Access Network (RAN), these requirements shall be met at any slice subnet during the life-time of a network slice as specified in , especially in RAN side. Exemplary slice performance requirements are specified in terms of throughput, energy efficiency, latency, and reliability at a high level in SDOs such as and GSMA NG.116 [17]. These requirements are defined as a reference for SLA/contractual agreements for each slice, which individually need proper handling in .",2
O-RAN.WG2.TS.Use-Case-Requirements-R004-v10.02.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,32,43,4.5,4.9,RAN slice SLA assurance,RAN slice SLA assurance,"The 3GPP standards architected a sliceable 5G infrastructure which allows creation and management of customized networks to meet specific service requirements that can be demanded by future applications, services and business verticals. Such a flexible architecture needs different requirements to be specified in terms of functionality, performance and group of users which can greatly vary from one service to the other. The 5G standardization efforts have gone into defining specific slices and their Service Level Agreements (SLAs) based on application/service type as specified in . Since network slicing is conceived to be an end-to-end feature that includes the core network, the transport network and the Radio Access Network (RAN), these requirements should be met at any slice subnet during the life-time of a network slice as specified in , especially in RAN side. Exemplary slice performance requirements are specified in terms of throughput, energy efficiency, latency and reliability at a high level in SDOs such as and GSMA [9]. These requirements are defined as a reference for SLA/contractual agreements for each slice, which individually need proper handling in .","The 3GPP standards architected a sliceable 5G infrastructure which allows creation and management of customized networks to meet specific service requirements that can be demanded by future applications, services, and business verticals. Such a flexible architecture needs different requirements to be specified in terms of functionality, performance and group of users which can greatly vary from one service to the other. The 5G standardization efforts have gone into defining specific slices and their Service Level Agreements (SLAs) based on application/service type as specified in . Since network slicing is conceived to be an end-to-end feature that includes the core network, the transport network and the Radio Access Network (RAN), these requirements shall be met at any slice subnet during the life-time of a network slice as specified in , especially in RAN side. Exemplary slice performance requirements are specified in terms of throughput, energy efficiency, latency, and reliability at a high level in SDOs such as and GSMA NG.116 [17]. These requirements are defined as a reference for SLA/contractual agreements for each slice, which individually need proper handling in .",2
O-RAN.WG11.TR.Fronthaul-CUSPlane-Security.0-R004-v03.00.pdf,O-RAN.WG11.TR.Threat-Modeling.O-R004-v05.00.pdf,3,31,4.2.2.2,7.4.1.2,Key Issue #2: A Rogue PTP Instance wanting to be a Grandmaster,Threats against the Open Fronthaul interface and M-S-C-U planes,"This degradation in the accuracy of time or false time may cause DoS to applications on all the O-RUs and O-DUs that rely on accurate time, potentially bringing down multiple cells or a part of the network if affecting O-DUs.","This degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.",1
O-RAN.WG11.TR.SMO-Security-Analysis.0-R004-v06.00.pdf,ORAN-WG11-SharedORU-Security-Analysis-TR.0-R004-v06.00.pdf,21,27,7,7,Security Controls,Security Controls,"Control-1: mTLS 1.2 or 1.3 with PKI and X.509 certificates Control-3: IAM (using RBAC, ABAC, PBAC, TBAC) Control-6: API Message Integrity Protection and Input Validation Control-10: Integrity Protection for Data at Rest Control-11: Integrity Protection for Data in Motion Control-12: Integrity Protection for Data in Use","Control-1: TLS with PKI and X.509 certificates Control-3: IAM (using RBAC, ABAC, PBAC, TBAC) Control-6: API Message Integrity Protection and Input Validation Control-10: Integrity Protection for Data at Rest Control-11: Integrity Protection for Data in Motion Control-12: Integrity Protection for Data in Use",2
O-RAN.WG1.TR.Use-Cases-Analysis-Report-R004-v16.00.pdf,O-RAN.WG1.TS.Use-Cases-Detailed-Specification-R004-v16.00.pdf,23,43,4.9.1,4.9,Background information,RAN slice SLA assurance,"The 3GPP standards architected a sliceable 5G infrastructure which allows creation and management of customized networks to meet specific service requirements that can be demanded by future applications, services and business verticals. Such a flexible architecture needs different requirements to be specified in terms of functionality, performance and group of users which can greatly vary from one service to the other. The 5G standardization efforts have gone into defining specific slices and their Service Level Agreements (SLAs) based on application/service type [i.11]. Since network slicing is conceived to be an end-to-end feature that includes the core network, the transport network and the radio access network (RAN), these requirements should be met at any slice subnet during the life-time of a network slice [i.15], especially in RAN side. Exemplary slice performance requirements are defined in terms of throughput, energy efficiency, latency and reliability at a high level in SDOs such as and GSMA [i.7]. These requirements are defined as a reference for SLA/contractual agreements for each slice, which individually need proper handling in NG- RAN.","The 3GPP standards architected a sliceable 5G infrastructure which allows creation and management of customized networks to meet specific service requirements that can be demanded by future applications, services, and business verticals. Such a flexible architecture needs different requirements to be specified in terms of functionality, performance and group of users which can greatly vary from one service to the other. The 5G standardization efforts have gone into defining specific slices and their Service Level Agreements (SLAs) based on application/service type as specified in . Since network slicing is conceived to be an end-to-end feature that includes the core network, the transport network and the Radio Access Network (RAN), these requirements shall be met at any slice subnet during the life-time of a network slice as specified in , especially in RAN side. Exemplary slice performance requirements are specified in terms of throughput, energy efficiency, latency, and reliability at a high level in SDOs such as and GSMA NG.116 [17]. These requirements are defined as a reference for SLA/contractual agreements for each slice, which individually need proper handling in .",2
O-RAN.WG3.TS.UCR-R004-v08.00.pdf,O-RAN.WG3.TS.UCR-R004-v08.00.pdf,66,77,4.6.1.3,4.6.3.3,Solution,Solution,Near-RT RIC evaluates the performance data from E2 nodes and finds potential improvements to energy efficiency which are indicated in the A1 policy and/or internal Near-RT RIC TS targets.,Near-RT RIC evaluates the performance data from E2 nodes and finds potential improvements to energy efficiency or potential gap to A1 policy and/or internal Near-RT RIC ES targets.,1
O-RAN.WG3.TS.E2AP-R004-v07.00.pdf,O-RAN.WG3.TS.E2AP-R004-v07.00.pdf,38,38,8.3.7.2,8.3.7.2,Successful operation,Successful operation,"After receiving the E2 REMOVAL RESPONSE message, the E2 Node shall initiate removal of the TNL association towards the Near-RT RIC, and shall release all resources associated with that E2 signalling connection.","After receiving the E2 REMOVAL RESPONSE message, the Near-RT RIC may initiate removal of the TNL association towards the E2 node, and shall release all resources associated with that E2 signalling connection and erase all application level data.",1
O-RAN.WG11.TR.Fronthaul-CUSPlane-Security.0-R004-v03.00.pdf,O-RAN.WG11.TR.Threat-Modeling.O-R004-v05.00.pdf,6,31,4.2.2.5,7.4.1.2,Key Issue #5: Packet delay manipulation attack,Threats against the Open Fronthaul interface and M-S-C-U planes,"This degradation in the accuracy of time may cause DoS to applications on all the O-RUs, O-DU and T-TSC of the intermediate T-TC or T-BC that rely on accurate time, potentially bringing down the cell or partial or entire mobile network depending on where the attacker is.","This degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.",2
O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,O-RAN.WG11.TS.Security-Test-Specifications-R004-v09.00.pdf,5,4,4.2,5.3,Test and measurement equipment and tools,Test and measurement equipment and tools,"The packet generation tool / Denial of Service (DoS) emulator is used for DoS traffic generation of security tests. The tool must support crafting network traffic on network layers from 2 to 7, which conform to network protocols such as: Ethernet, IP, UDP, TCP, PTP, eCPRI, TLS, HTTP/HTTPS. The tool is intended to be deployable in various network segments (communication planes) according to the testing needs.","A packet generation tool / Denial of Service (DoS) emulator shall be used for DoS traffic generation of security tests. The tool shall support crafting network traffic over the following network protocols: Ethernet, IP, UDP, TCP, PTP, eCPRI, TLS, HTTP/HTTPS.",2
O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,17,26,5.3.2,5.7.2,Test setup and configuration,Test setup and configuration,"Field setup: The UE is placed in the centre of cell close to the radiated eNB/gNB antenna(s), where excellent radio conditions (as defined in) should be observed. The minimum coupling loss (see 4.6) should not be exceeded.","Field setup: The UE is placed in the centre of cell close to the radiated gNB antenna(s), where excellent radio conditions (RSRQ as defined in) should be observed. The minimum coupling loss (see 4.6) should not be exceeded.",2
O-RAN.WG11.Security-Log-Management-TR.O-R004-v05.00.pdf,O-RAN.WG11.TS.Security-Requirements-Specification.0-R004-v11.00.pdf,25,51,6.6.2,5.3.8.9,Solution details,Authenticated Time Stamping and Missing Time Source,"If NTPv4 authentication is supported, then (RFC4493) should be supported. In this case the NTP client can verify the integrity of the received NTP-packet.","If NTPv4 authentication is in use, then as specified by RFC4493 [78] shall be supported. In this use case the NTP client can verify the integrity of the received NTP-packet.",2
O-RAN.WG11.TR.Threat-Modeling.O-R004-v05.00.pdf,O-RAN.WG11.TR.Threat-Modeling.O-R004-v05.00.pdf,83,84,7.4.8.1,7.4.8.1,General SMO Threats,General SMO Threats,Threat title External Overload DoS attack targeted at SMO Overload situation could appear in the case of DoS attack or increased traffic on externally facing interfaces. Inability to mitigate traffic volumetric attacks on an external interface affects availability of SMO data and functions.,Threat title Internal Overload DoS attack targeted at SMO functions Overload situation could appear in the case of DoS attack or increased traffic on internal SMO interfaces. Inability to mitigate traffic volumetric attacks on an external interface affects availability of SMO data and functions.,2
O-RAN.WG11.TR.SMO-Security-Analysis.0-R004-v06.00.pdf,O-RAN.WG11.TR.SMO-Security-Analysis.0-R004-v06.00.pdf,11,12,6.1,6.1,General SMO Threats,General SMO Threats,Threat title External Overload DoS attack targeted at SMO Overload situation could appear in the case of DoS attack or increased traffic on externally facing interfaces. Inability to mitigate traffic volumetric attacks on an external interface affects availability of SMO data and functions or SMO services.,Threat title Internal Overload DoS attack targeted at SMO functions or SMO services Overload situation could appear in the case of DoS attack or increased traffic on internal SMO interfaces. Inability to mitigate traffic volumetric attacks on an external interface affects availability of SMO data and functions.,2
O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,24,55,5.6.2,6.6.2,Test setup and configuration,Test setup and configuration,"Laboratory setup: The radio conditions of UE can be modified by a variable attenuator/fading generator inserted between the antenna connectors (if available) of the O-RU and the UE, or appropriately emulated using a UE emulator. The radio conditions of UE are initially set to excellent. The minimum coupling loss (see) should not be exceeded. The UE","Laboratory setup: The radio conditions experienced by the UE can be modified using a variable attenuator/fading generator inserted between the antenna connectors (if available) of the O-RU and the UE, or appropriately emulated using a UE emulator. The radio conditions of UE are initially set to excellent. The minimum coupling loss (see) shall not be exceeded. The change in radio conditions of UE, from excellent through fair and good to poor, is achieved by increasing the attenuation of radio signal. The UE shall be placed inside RF shielded box or RF shielded room if the UE is not connected via cable.",2
O-RAN.WG6.AAL-Common-API-R003-v08.00.pdf,O-RAN.WG6.AAL-Common-API-R003-v08.00.pdf,82,82,5.3.3.2.8,5.3.3.2.8,Receive Buffer Asynchronous Mode with NULL buffer_handle input,Receive Buffer Asynchronous Mode with NULL buffer_handle input,"In case of with callback, the AAL Application calls the receiveBuffer API to receive buffer content from the AAL which will execute the receive. In the case no buffers are ready to be received the AAL Implementation returns immediately indicating no buffers were received.","In case of with preregistered callback, the AAL Application calls the receiveBuffer API to receive buffer content from the AAL which will execute the receiveBuffer operation. In the case no buffers are ready to be received the AAL Implementation returns immediately indicating the status of the operation.",2
O-RAN.WG6.TS.O2-GA&P-R004-v08.01.pdf,O-RAN.WG6.ORCH-USE-CASES-R004-v12.00.pdf,33,85,3.8.19,3.7.8.1,Logs for Fault Management,High Level Description,"DEBUG LOGS - The present document does not specify or describe the creation and operation of Debug Logs. They might be able to be turned off. The log level would typically be configurable (at the source, middle, and end user level). For example, a typical implementation may use syslog (defined in RFC 5424, see reference [17]) which defines a log level to select informational (most detail), trace, warnings, errors, to critical (least detail) messages. Disclaimer: It might be possible that Fault logs and Debug logs might be combined. Debug logs, once activated, would be exposed to northbound entities.","DEBUG LOGS - The creation and operation of Debug Logs is up to implementation. They might be able to be turned off. The log level would typically be configurable (at the source, middle, and end user level). For example, a typical implementation may use syslog (defined in RFC5424 [21]) which defines a log level to show informational (most detail), trace, warnings, errors, to critical (least detail) messages. Disclaimer: some implementations could combine Fault logs and Debug logs together. Debug logs are not necessarily exposed to northbound entities.",2
O-RAN.WG11.TR.Fronthaul-CUSPlane-Security.0-R004-v03.00.pdf,O-RAN.WG11.TR.Threat-Modeling.O-R004-v05.00.pdf,4,31,4.2.2.3,7.4.1.2,Key Issue #3: DoS attack against a timeTransmitter clock,Threats against the Open Fronthaul interface and M-S-C-U planes,"This clock service disruption or degradation in the accuracy of time may cause DoS to applications on all the O-RUs and O-DUs that rely on accurate time, potentially bringing down the cell or larger portion of mobile network.","This degradation in the accuracy of time may cause DoS to applications on all the RUs that rely on accurate time, potentially bringing down the cell.",2
O-RAN.WG11.TR.Fronthaul-CUSPlane-Security.0-R004-v03.00.pdf,O-RAN.WG11.TR.Threat-Modeling.O-R004-v05.00.pdf,4,30,4.2.2.3,7.4.1.2,Key Issue #3: DoS attack against a timeTransmitter clock,Threats against the Open Fronthaul interface and M-S-C-U planes,"This attack results in a situation where the clock service is interrupted completely, or the timing protocol is operational, but timeReceivers are being provided inaccurate timing information due the degraded performance of the timeTransmitter clock, or cause the attacked clock to go back in time[i.1].","This attack results in a situation where the clock service is interrupted completely, or the timing protocol is operational, but slaves are being provided inaccurate timing information due the degraded performance of the Master clock.",2
O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,O-RAN.TIFG.E2E-Test.0-R003-v06.00.pdf,81,87,7.1.1.2,7.2.1.2,Test Setup,Test Setup,"The SUT in this test case shall be O-eNB along with O-RU, O-DU and O-/O- for NSA deployments or the O- RU, O-DU and O-/O- for SA deployments. The O-RAN setup should support the ability to perform this testing in different radio conditions as defined in . The 4G/5G core will be required to support the basic functionality to authenticate and register an end user device and to setup a PDN connection/PDU session. The 4G core will be used for O-RAN NSA testing, whereas 5G core will be used for O-RAN SA testing. The 4G/5G core may be a completely emulated, partially emulated or a real non-emulated core. The application server should support web browsing and be accessible from the 4G/5G core. This application server(s) should support protocols, such as HTTP/TCP or HTTP/QUIC as applicable. The end user device (UE) used for testing may be a real UE or an emulated one. The test setup shall include tools which can collect traces on the elements and/or packet captures of communication between the elements. This could be a built-in capability of the emulated/non-emulated network elements and end user device(s) or external tool(s). If some of the network elements or application servers arelocated remotely either in a cloud or on the internet, the additional latency should be calculated and accounted for.","The SUT in this test case would be O-eNB along with O-RU, O-DU and O-/O- for NSA deployments or the O- RU, O-DU and O-/O- for SA deployments. The O-RAN setup should support the ability to perform this testing in different radio conditions as defined in . A 4G/5G core will be required to support the basic functionality to authenticate and register an end user device in order to setup a PDN connection/PDU session. The 4G core will be used for O- RAN NSA testing, whereas 5G core will be used for O-RAN SA testing. The 4G/5G core may be a completely emulated.",2
O-RAN.WG11.Security-Log-Management-TR.O-R004-v05.00.pdf,O-RAN.WG11.Security-Log-Management-TR.O-R004-v05.00.pdf,13,14,5.3.2.1,5.3.2.3,Key issue detail,Potential security requirements,"Improper or missing controls for protection of security event logs at rest, generated by O-RAN components, may not allow a correct and rapid audit in case of a security incident occurrence. Security restoration is delayed. Missing availability and integrity of security event logs could conduct to delays, wrong audit results, delays in security restoration and threat persistence ([i.1] ).","The security storage medium should be monitored for approaching capacity limits, and proper methods should be in place to avoid discarding log events, e.g. by Improper or missing controls for protection of security event logs in motion, generated by O-RAN components, may not allow a correct and rapid audit in case of a security incident occurrence. Security restoration is delayed. Missing availability and integrity of security event logs could conduct to delays, wrong audit results, delays in security restoration and threat persistence ([i.1] ).",2
O-RAN.WG11.TS.Security-Test-Specifications-R004-v09.00.pdf,O-RAN.WG11.TS.Security-Test-Specifications-R004-v09.00.pdf,80,80,11.1.3.1,11.1.3.1,"SSH-based M-Plane authentication, authorization and access control protection","SSH-based M-Plane authentication, authorization and access control protection","EXAMPLE: ""Command: ssh -i <path_to_invalid_private_key> -o CertificateFile=<path_to_invalid_certificate> <valid_username>@<O-DU_IP>"" Verify that the O-RU rejects the SSH connection due to the authentication failure.","EXAMPLE: ""Command: ssh -i <path_to_valid_private_key> -o CertificateFile=<path_to_valid_certificate> <invalid_username>@<O-DU_IP>"" Verify that the O-DU rejects the SSH connection, confirming that the system does not authenticate usernames that are not registered or recognized.",2
O-RAN.WG11.TS.Security-Requirements-Specification.0-R004-v11.00.pdf,O-RAN.WG11.Certficate-Management-Framework-TR.0-R004-v04.00.pdf,57,55,5.3.9.1,6.4,Requirements,Vendor root CA certificate renewal notification,"When the expiry of the vendor root CA certificate or any of the sub-CA certificates in the trust chain is approaching, PNFs should raise notifications (alarms) with increasing levels of severity as the expiry date gets closer.","PNFs which use vendor-signed certificates for initial certificate enrolment should monitor the expiry of the vendor root CA certificate used to sign the certificate. When the expiry of the vendor root CA certificate is approaching, PNFs should raise notifications (alarms) with increasing levels of severity as the expiry date gets closer.",2
O-RAN.WG2.TS.R1AP-R004-v07.00.pdf,O-RAN.WG2.R1AP-v06.00.pdf,7,8,6.1.4.4,6.1.4.4,Partially update registered service API,Partially update registered service API,"1. The API Consumer shall send an HTTP PATCH request to the API Producer. The target URI shall identify the resource (/{apfId}/service-apis/{serviceApiId}. The message content shall carry a service API description patch structure. The API Producer shall determine if the request sent by the API Consumer is authorized or not. If so, the API Producer shall process the message content received in the HTTP PATCH message. 2. The API Producer shall return the HTTP PATCH response. On success 200 OK shall be returned. The message content shall carry the updated service API description. On failure, the appropriate error code shall be returned, and the message response body may contain additional error information.","1. The API Consumer shall send an HTTP PATCH request to the API Producer. The target URI shall identify the resource to be deleted (/{apfId}/service-apis/{serviceApiId}. The message content shall carry a service API description patch structure. The API Producer shall determine if the request sent by the API Consumer is authorized or not. If so, the API Producer shall process the message content received in the HTTP PATCH message. 2. The API Producer shall return the HTTP PATCH response. On success 200 OK shall be returned. The message content shall carry the updated service API description. On failure, the appropriate error code shall be returned, and the message response body may contain additional error information.",2
